class id name
AbstractArrow 6 flags
AbstractArrow 7 owner
AbstractHorse 13 flags
AbstractHorse 14 type
AbstractHorse 15 variant
AbstractHorse 16 owner_uuid
AbstractHorse 17 armor
AbstractMinecart 6 hurt
AbstractMinecart 7 hurtdir
AbstractMinecart 8 damage
AbstractMinecart 9 display_block
AbstractMinecart 10 display_offset
AbstractMinecart 11 custom_display
AbstractSkeleton 12 aggressive
AgeableMob 12 baby
Entity 0 shared_flags
Entity 1 air_supply
Entity 2 custom_name
Entity 3 custom_name_visible
Entity 4 silent
Entity 5 no_gravity
Fireball 6 item_stack
LivingEntity 6 living_entity_flags
LivingEntity 7 health
LivingEntity 8 effect_color
LivingEntity 9 effect_ambience
LivingEntity 10 arrow_count
Mob 11 mob_flags
Raider 12 is_celebrating
TamableAnimal 13 flags
TamableAnimal 14 owneruuid
ThrowableItemProjectile 6 item_stack
minecraft:area_effect_cloud 6 radius
minecraft:area_effect_cloud 7 color
minecraft:area_effect_cloud 8 waiting
minecraft:area_effect_cloud 9 particle
minecraft:area_effect_cloud 10 particle_param1
minecraft:area_effect_cloud 11 particle_param2
minecraft:armor_stand 11 client_flags
minecraft:armor_stand 12 head_pose
minecraft:armor_stand 13 body_pose
minecraft:armor_stand 14 left_arm_pose
minecraft:armor_stand 15 right_arm_pose
minecraft:armor_stand 16 left_leg_pose
minecraft:armor_stand 17 right_leg_pose
minecraft:arrow 8 effect_color
minecraft:bat 12 flags
minecraft:blaze 12 flags
minecraft:boat 6 hurt
minecraft:boat 7 hurtdir
minecraft:boat 8 damage
minecraft:boat 9 type
minecraft:boat 10 paddle_left
minecraft:boat 11 paddle_right
minecraft:cat 15 variant
minecraft:command_block_minecart 12 command_name
minecraft:command_block_minecart 13 last_output
minecraft:creeper 12 swell_dir
minecraft:creeper 13 is_powered
minecraft:creeper 14 is_ignited
minecraft:end_crystal 6 beam_target
minecraft:end_crystal 7 show_bottom
minecraft:ender_dragon 12 phase
minecraft:enderman 12 carry_state
minecraft:enderman 13 creepy
minecraft:falling_block 6 start_pos
minecraft:firework_rocket 6 fireworks_item
minecraft:fishing_bobber 6 hooked_entity
minecraft:fishing_bobber 7 biting
minecraft:furnace_minecart 12 fuel
minecraft:ghast 12 is_charging
minecraft:guardian 12 flags
minecraft:guardian 13 attack_target
minecraft:iron_golem 12 flags
minecraft:item 6 item
minecraft:item_frame 6 item
minecraft:item_frame 7 rotation
minecraft:painting 6 painting_variant
minecraft:pig 13 saddle
minecraft:player 11 player_absorption
minecraft:player 12 score
minecraft:player 13 player_mode_customisation
minecraft:player 14 player_main_hand
minecraft:polar_bear 13 standing
minecraft:rabbit 13 type
minecraft:sheep 13 wool
minecraft:shulker 12 attach_pos
minecraft:shulker 13 attach_face
minecraft:shulker 14 peek
minecraft:skeleton 13 type
minecraft:skeleton 14 stray_conversion
minecraft:slime 12 size
minecraft:snow_golem 12 pumpkin
minecraft:spider 12 flags
minecraft:tnt 6 fuse
minecraft:villager 13 villager
minecraft:witch 13 using_item
minecraft:wither 12 target_a
minecraft:wither 13 target_b
minecraft:wither 14 target_c
minecraft:wither 15 inv
minecraft:wither_skull 6 dangerous
minecraft:wolf 16 health
minecraft:wolf 16 interested
minecraft:wolf 17 collar_color
minecraft:zombie 12 baby
minecraft:zombie 13 special_type
minecraft:zombie 14 converting
minecraft:zombie 15 aggressive
