class id name
AbstractArrow 6 flags
AbstractArrow 7 owner
AbstractChestedHorse 15 chest
AbstractIllager 13 flags
AbstractFish 12 from_bucket
AbstractHorse 13 flags
AbstractHorse 14 owner_uuid
AbstractMinecart 6 hurt
AbstractMinecart 7 hurtdir
AbstractMinecart 8 damage
AbstractMinecart 9 display_block
AbstractMinecart 10 display_offset
AbstractMinecart 11 custom_display
AbstractSkeleton 12 aggressive
AgeableMob 12 baby
Entity 0 shared_flags
Entity 1 air_supply
Entity 2 custom_name
Entity 3 custom_name_visible
Entity 4 silent
Entity 5 no_gravity
Fireball 6 item_stack
LivingEntity 6 living_entity_flags
LivingEntity 7 health
LivingEntity 8 effect_color
LivingEntity 9 effect_ambience
LivingEntity 10 arrow_count
Mob 11 mob_flags
Raider 12 is_celebrating
SpellcasterIllager 14 spell_casting
TamableAnimal 13 flags
TamableAnimal 14 owneruuid
ThrowableItemProjectile 6 item_stack
minecraft:area_effect_cloud 6 radius
minecraft:area_effect_cloud 7 color
minecraft:area_effect_cloud 8 waiting
minecraft:area_effect_cloud 9 particle
minecraft:armor_stand 11 client_flags
minecraft:armor_stand 12 head_pose
minecraft:armor_stand 13 body_pose
minecraft:armor_stand 14 left_arm_pose
minecraft:armor_stand 15 right_arm_pose
minecraft:armor_stand 16 left_leg_pose
minecraft:armor_stand 17 right_leg_pose
minecraft:arrow 8 effect_color
minecraft:bat 12 flags
minecraft:blaze 12 flags
minecraft:boat 6 hurt
minecraft:boat 7 hurtdir
minecraft:boat 8 damage
minecraft:boat 9 type
minecraft:boat 10 paddle_left
minecraft:boat 11 paddle_right
minecraft:boat 12 bubble_time
minecraft:cat 15 variant
minecraft:command_block_minecart 12 command_name
minecraft:command_block_minecart 13 last_output
minecraft:creeper 12 swell_dir
minecraft:creeper 13 is_powered
minecraft:creeper 14 is_ignited
minecraft:dolphin 12 treasure_pos
minecraft:dolphin 13 got_fish
minecraft:dolphin 14 moistness_level
minecraft:end_crystal 6 beam_target
minecraft:end_crystal 7 show_bottom
minecraft:ender_dragon 12 phase
minecraft:enderman 12 carry_state
minecraft:enderman 13 creepy
minecraft:falling_block 6 start_pos
minecraft:firework_rocket 6 fireworks_item
minecraft:firework_rocket 7 attached_to_target
minecraft:fishing_bobber 6 hooked_entity
minecraft:fishing_bobber 7 biting
minecraft:furnace_minecart 12 fuel
minecraft:ghast 12 is_charging
minecraft:guardian 12 moving
minecraft:guardian 13 attack_target
minecraft:horse 15 type_variant
minecraft:horse 16 armor
minecraft:iron_golem 12 flags
minecraft:item 6 item
minecraft:item_frame 6 item
minecraft:item_frame 7 rotation
minecraft:llama 16 strength
minecraft:llama 17 swag
minecraft:llama 18 variant
minecraft:painting 6 painting_variant
minecraft:parrot 15 variant
minecraft:phantom 12 size
minecraft:pig 13 saddle
minecraft:pig 14 boost_time
minecraft:player 11 player_absorption
minecraft:player 12 score
minecraft:player 13 player_mode_customisation
minecraft:player 14 player_main_hand
minecraft:player 15 shoulder_left
minecraft:player 16 shoulder_right
minecraft:polar_bear 13 standing
minecraft:pufferfish 13 puff_state
minecraft:rabbit 13 type
minecraft:sheep 13 wool
minecraft:shulker 12 attach_pos
minecraft:shulker 13 attach_face
minecraft:shulker 14 peek
minecraft:shulker 15 color
minecraft:skeleton 13 stray_conversion
minecraft:slime 12 size
minecraft:snow_golem 12 pumpkin
minecraft:spider 12 flags
minecraft:tnt 6 fuse
minecraft:trident 8 loyalty
minecraft:tropical_fish 13 type_variant
minecraft:turtle 13 home_pos
minecraft:turtle 14 has_egg
minecraft:turtle 15 laying_egg
minecraft:turtle 16 travel_pos
minecraft:turtle 17 going_home
minecraft:turtle 18 travelling
minecraft:vex 12 flags
minecraft:villager 13 villager
minecraft:witch 13 using_item
minecraft:wither 12 target_a
minecraft:wither 13 target_b
minecraft:wither 14 target_c
minecraft:wither 15 inv
minecraft:wither_skull 6 dangerous
minecraft:wolf 16 health
minecraft:wolf 16 interested
minecraft:wolf 17 collar_color
minecraft:zombie 12 baby
minecraft:zombie 13 special_type
minecraft:zombie 14 aggressive
minecraft:zombie 15 drowned_conversion
minecraft:zombie_villager 16 converting
minecraft:zombie_villager 17 villager
