id name
0 area_effect_cloud
1 armor_stand
2 arrow
3 axolotl
4 bat
5 bee
6 blaze
7 boat
8 cat
9 cave_spider
10 chicken
11 cod
12 cow
13 creeper
14 dolphin
15 donkey
16 dragon_fireball
17 drowned
18 elder_guardian
19 end_crystal
20 ender_dragon
21 enderman
22 endermite
23 evoker
24 evoker_fangs
25 experience_orb
26 eye_of_ender
27 falling_block
28 firework_rocket
29 fox
30 ghast
31 giant
32 glow_item_frame
33 glow_squid
34 goat
35 guardian
36 hoglin
37 horse
38 husk
39 illusioner
40 iron_golem
41 item
42 item_frame
43 fireball
44 leash_knot
45 lightning_bolt
46 llama
47 llama_spit
48 magma_cube
49 marker
50 minecart
51 chest_minecart
52 command_block_minecart
53 furnace_minecart
54 hopper_minecart
55 spawner_minecart
56 tnt_minecart
57 mule
58 mooshroom
59 ocelot
60 painting
61 panda
62 parrot
63 phantom
64 pig
65 piglin
66 piglin_brute
67 pillager
68 polar_bear
69 tnt
70 pufferfish
71 rabbit
72 ravager
73 salmon
74 sheep
75 shulker
76 shulker_bullet
77 silverfish
78 skeleton
79 skeleton_horse
80 slime
81 small_fireball
82 snow_golem
83 snowball
84 spectral_arrow
85 spider
86 squid
87 stray
88 strider
89 egg
90 ender_pearl
91 experience_bottle
92 potion
93 trident
94 trader_llama
95 tropical_fish
96 turtle
97 vex
98 villager
99 vindicator
100 wandering_trader
101 witch
102 wither
103 wither_skeleton
104 wither_skull
105 wolf
106 zoglin
107 zombie
108 zombie_horse
109 zombie_villager
110 zombified_piglin
111 player
112 fishing_bobber
