class superclass
AbstractArrow Projectile
AbstractChestedHorse AbstractHorse
AbstractGolem PathfinderMob
AbstractHorse Animal
AbstractHurtingProjectile Projectile
AbstractMinecart Entity
AbstractMinecartContainer AbstractMinecart
AbstractSkeleton Monster
AbstractVillager AgeableMob
AgeableMob PathfinderMob
AmbientCreature Mob
Animal AgeableMob
Fireball AbstractHurtingProjectile
FlyingMob Mob
HangingEntity Entity
LivingEntity Entity
Mob LivingEntity
Monster PathfinderMob
PathfinderMob Mob
PatrollingMonster Monster
Projectile Entity
Raider PatrollingMonster
TamableAnimal Animal
ThrowableItemProjectile ThrowableProjectile
ThrowableProjectile Projectile
WaterAnimal PathfinderMob
minecraft:armor_stand LivingEntity
minecraft:arrow AbstractArrow
minecraft:bat AmbientCreature
minecraft:blaze Monster
minecraft:boat Entity
minecraft:cat TamableAnimal
minecraft:cave_spider minecraft:spider
minecraft:chest_minecart AbstractMinecartContainer
minecraft:chicken Animal
minecraft:command_block_minecart AbstractMinecart
minecraft:cow Animal
minecraft:creeper Monster
minecraft:egg ThrowableItemProjectile
minecraft:elder_guardian minecraft:guardian
minecraft:end_crystal Entity
minecraft:ender_dragon Mob
minecraft:ender_pearl ThrowableItemProjectile
minecraft:enderman Monster
minecraft:endermite Monster
minecraft:experience_bottle ThrowableItemProjectile
minecraft:experience_orb Entity
minecraft:eye_of_ender Entity
minecraft:falling_block Entity
minecraft:fireball Fireball
minecraft:firework_rocket Projectile
minecraft:fishing_bobber Projectile
minecraft:furnace_minecart AbstractMinecart
minecraft:ghast FlyingMob
minecraft:giant Monster
minecraft:guardian Monster
minecraft:hopper_minecart AbstractMinecartContainer
minecraft:horse AbstractHorse
minecraft:iron_golem AbstractGolem
minecraft:item Entity
minecraft:item_frame HangingEntity
minecraft:leash_knot HangingEntity
minecraft:lightning_bolt Entity
minecraft:magma_cube minecraft:slime
minecraft:minecart AbstractMinecart
minecraft:mooshroom minecraft:cow
minecraft:painting HangingEntity
minecraft:pig Animal
minecraft:player LivingEntity
minecraft:potion ThrowableItemProjectile
minecraft:rabbit Animal
minecraft:sheep Animal
minecraft:silverfish Monster
minecraft:skeleton AbstractSkeleton
minecraft:slime Mob
minecraft:small_fireball Fireball
minecraft:snow_golem AbstractGolem
minecraft:snowball ThrowableItemProjectile
minecraft:spawner_minecart AbstractMinecart
minecraft:spider Monster
minecraft:squid WaterAnimal
minecraft:tnt Entity
minecraft:tnt_minecart AbstractMinecart
minecraft:villager AbstractVillager
minecraft:witch Raider
minecraft:wither Monster
minecraft:wither_skull AbstractHurtingProjectile
minecraft:wolf TamableAnimal
minecraft:zombie Monster
minecraft:zombified_piglin minecraft:zombie
